iter	Passed	Remaining
0	133	133227
1	133	66823
2	134	44676
3	134	33600
4	135	26959
5	136	22535
6	136	19368
7	137	16991
8	137	15143
9	138	13663
10	138	12452
11	139	11445
12	139	10592
13	140	9860
14	140	9227
15	141	8672
16	141	8183
17	142	7748
18	142	7359
19	143	7008
20	143	6690
21	144	6402
22	144	6139
23	145	5897
24	145	5685
25	146	5482
26	146	5297
27	147	5124
28	148	4969
29	148	4817
30	149	4674
31	150	4540
32	150	4414
33	151	4296
34	151	4185
35	152	4080
36	152	3981
37	153	3887
38	154	3801
39	154	3715
40	155	3632
41	155	3554
42	156	3479
43	156	3407
44	157	3338
45	157	3272
46	158	3209
47	158	3149
48	159	3091
49	159	3036
50	160	2983
51	160	2932
52	161	2883
53	161	2835
54	162	2789
55	162	2746
56	163	2703
57	163	2662
58	164	2622
59	164	2583
60	165	2546
61	165	2510
62	166	2476
63	167	2442
64	167	2410
65	168	2378
66	168	2346
67	168	2313
68	169	2284
69	169	2255
70	170	2228
71	170	2201
72	171	2175
73	171	2149
74	172	2124
75	172	2100
76	173	2077
77	173	2054
78	174	2032
79	174	2010
80	175	1989
81	175	1968
82	176	1948
83	176	1928
84	177	1908
85	177	1889
86	178	1869
87	178	1851
88	179	1834
89	179	1817
90	180	1800
91	180	1783
92	181	1767
93	181	1751
94	182	1735
95	182	1720
96	183	1705
97	183	1690
98	184	1676
99	184	1662
100	185	1648
101	185	1633
102	186	1619
103	186	1606
104	186	1593
105	187	1581
106	187	1568
107	188	1556
108	188	1544
109	189	1532
110	189	1521
111	190	1509
112	190	1498
113	191	1487
114	191	1477
115	192	1466
116	192	1456
117	193	1445
118	193	1434
119	194	1425
120	194	1415
121	195	1405
122	195	1394
123	196	1384
124	196	1375
125	197	1366
126	197	1358
127	197	1348
128	198	1339
129	198	1331
130	199	1322
131	199	1314
132	200	1306
133	200	1297
134	201	1290
135	201	1282
136	202	1274
137	202	1266
138	203	1259
139	203	1251
140	204	1244
141	204	1237
142	205	1229
143	205	1222
144	206	1216
145	206	1209
146	207	1203
147	207	1196
148	208	1189
149	208	1183
150	209	1176
151	209	1170
152	210	1164
153	210	1158
154	211	1151
155	211	1145
156	212	1139
157	212	1133
158	213	1127
159	213	1121
160	214	1116
161	214	1110
162	215	1104
163	215	1099
164	216	1094
165	216	1088
166	217	1083
167	217	1078
168	218	1073
169	218	1067
170	219	1062
171	219	1057
172	220	1052
173	220	1047
174	221	1042
175	221	1038
176	222	1033
177	222	1029
178	223	1024
179	223	1019
180	224	1014
181	224	1009
182	225	1004
183	225	1000
184	226	995
185	226	991
186	227	987
187	227	983
188	228	978
189	228	974
190	229	970
191	229	966
192	230	962
193	230	957
194	231	954
195	231	950
196	232	946
197	232	942
198	233	938
199	233	934
200	234	931
201	234	927
202	235	923
203	235	919
204	236	915
205	236	912
206	237	908
207	237	905
208	238	901
209	238	898
210	239	894
211	239	891
212	240	887
213	240	884
214	241	880
215	241	877
216	242	873
217	242	870
218	243	867
219	243	863
220	244	860
221	244	857
222	245	853
223	245	850
224	246	847
225	246	844
226	247	841
227	247	838
228	248	835
229	248	832
230	249	829
231	249	826
232	250	823
233	250	820
234	251	817
235	251	814
236	252	811
237	252	808
238	253	806
239	253	803
240	254	800
241	254	797
242	255	794
243	255	792
244	256	789
245	256	786
246	257	783
247	257	781
248	258	778
249	258	775
250	259	773
251	259	770
252	260	767
253	260	765
254	261	762
255	261	760
256	262	757
257	262	755
258	263	752
259	263	749
260	264	747
261	264	745
262	265	742
263	265	740
264	266	737
265	266	735
266	267	733
267	267	730
268	268	728
269	268	725
270	269	723
271	269	721
272	269	718
273	270	716
274	271	714
275	271	712
276	271	709
277	272	707
278	272	705
279	273	703
280	274	701
281	274	699
282	275	696
283	275	694
284	276	692
285	276	690
286	276	688
287	277	686
288	278	684
289	278	681
290	279	679
291	279	677
292	280	675
293	280	673
294	281	671
295	281	669
296	282	667
297	282	665
298	283	663
299	283	661
300	284	659
301	284	657
302	285	655
303	285	653
304	286	651
305	286	649
306	287	647
307	287	646
308	288	644
309	288	642
310	289	640
311	289	638
312	290	636
313	290	634
314	291	632
315	291	630
316	291	629
317	292	627
318	292	625
319	293	623
320	293	621
321	294	619
322	294	618
323	295	616
324	295	614
325	296	613
326	297	611
327	297	609
328	298	607
329	298	606
330	299	604
331	299	602
332	300	600
333	300	599
334	301	597
335	301	595
336	302	594
337	302	592
338	303	590
339	303	589
340	304	587
341	304	585
342	305	584
343	305	582
344	306	580
345	306	579
346	307	577
347	307	576
348	307	574
349	308	572
350	308	571
351	309	569
352	309	568
353	310	566
354	311	565
355	311	563
356	312	561
357	312	560
358	313	558
359	313	557
360	314	555
361	314	554
362	315	552
363	315	551
364	315	549
365	316	548
366	317	546
367	317	545
368	318	544
369	318	542
370	319	541
371	319	540
372	320	538
373	321	537
374	321	535
375	322	534
376	322	532
377	323	531
378	323	530
379	323	528
380	324	527
381	325	525
382	325	524
383	326	523
384	326	521
385	327	520
386	327	519
387	328	517
388	328	516
389	329	515
390	329	513
391	330	512
392	330	511
393	331	509
394	332	508
395	332	507
396	333	505
397	333	504
398	333	503
399	334	501
400	334	500
401	335	499
402	335	497
403	336	496
404	336	495
405	337	493
406	338	492
407	338	491
408	339	490
409	339	488
410	340	487
411	340	486
412	341	485
413	341	483
414	342	482
415	342	481
416	343	480
417	343	478
418	344	477
419	345	476
420	345	475
421	346	473
422	346	472
423	347	471
424	347	470
425	347	468
426	348	467
427	348	466
428	349	465
429	350	463
430	350	462
431	351	461
432	351	460
433	351	459
434	352	457
435	352	456
436	353	455
437	353	454
438	354	453
439	355	451
440	355	450
441	356	449
442	356	448
443	357	447
444	357	446
445	358	444
446	358	443
447	359	442
448	359	441
449	360	440
450	360	438
451	361	437
452	361	436
453	362	435
454	362	434
455	363	433
456	363	432
457	364	430
458	364	429
459	365	428
460	365	427
461	366	426
462	366	425
463	367	423
464	367	422
465	368	421
466	368	420
467	369	419
468	369	418
469	370	417
470	370	416
471	371	415
472	371	414
473	372	412
474	372	411
475	373	410
476	373	409
477	374	408
478	374	407
479	375	406
480	375	405
481	376	404
482	376	403
483	377	402
484	377	400
485	378	399
486	378	398
487	379	397
488	379	396
489	380	395
490	380	394
491	381	393
492	381	392
493	382	391
494	382	390
495	383	389
496	383	388
497	384	387
498	384	386
499	385	385
500	385	384
501	386	383
502	386	382
503	387	381
504	387	380
505	388	379
506	388	377
507	389	376
508	389	375
509	390	374
510	390	373
511	391	372
512	391	371
513	392	370
514	392	369
515	393	368
516	393	367
517	394	366
518	394	365
519	395	364
520	395	363
521	396	362
522	396	361
523	397	360
524	397	359
525	398	358
526	398	357
527	399	356
528	399	355
529	400	355
530	400	354
531	401	353
532	401	352
533	402	351
534	402	350
535	403	349
536	403	348
537	404	347
538	404	346
539	405	345
540	405	344
541	406	343
542	406	342
543	407	341
544	407	340
545	408	339
546	408	338
547	409	337
548	409	336
549	410	335
550	410	334
551	411	333
552	411	332
553	412	331
554	412	330
555	413	329
556	413	329
557	414	328
558	414	327
559	415	326
560	415	325
561	416	324
562	416	323
563	417	322
564	418	321
565	418	320
566	419	319
567	419	319
568	419	318
569	420	317
570	420	316
571	421	315
572	421	314
573	422	313
574	422	312
575	423	311
576	423	310
577	424	309
578	424	309
579	425	308
580	425	307
581	426	306
582	426	305
583	427	304
584	427	303
585	428	302
586	428	301
587	429	300
588	430	300
589	430	299
590	431	298
591	431	297
592	432	296
593	432	295
594	433	294
595	433	294
596	434	293
597	434	292
598	435	291
599	435	290
600	436	289
601	436	288
602	437	287
603	437	287
604	438	286
605	438	285
606	439	284
607	439	283
608	440	282
609	440	281
610	441	280
611	441	280
612	442	279
613	442	278
614	443	277
615	443	276
616	444	275
617	444	274
618	445	274
619	445	273
620	446	272
621	446	271
622	447	270
623	447	269
624	448	269
625	449	268
626	449	267
627	449	266
628	450	265
629	450	264
630	451	263
631	451	263
632	452	262
633	452	261
634	453	260
635	453	259
636	454	258
637	454	258
638	455	257
639	455	256
640	456	255
641	456	254
642	457	253
643	457	252
644	458	252
645	458	251
646	459	250
647	459	249
648	460	248
649	460	248
650	461	247
651	461	246
652	462	245
653	462	244
654	463	244
655	463	243
656	464	242
657	464	241
658	465	240
659	465	239
660	466	239
661	466	238
662	467	237
663	467	236
664	468	235
665	468	235
666	469	234
667	469	233
668	470	232
669	470	231
670	471	231
671	471	230
672	472	229
673	472	228
674	473	227
675	473	227
676	474	226
677	475	225
678	475	224
679	475	223
680	476	223
681	476	222
682	477	221
683	477	220
684	478	219
685	478	219
686	479	218
687	479	217
688	480	216
689	480	216
690	481	215
691	481	214
692	482	213
693	482	212
694	483	212
695	483	211
696	484	210
697	484	209
698	485	209
699	485	208
700	486	207
701	486	206
702	487	205
703	487	205
704	488	204
705	488	203
706	489	202
707	489	202
708	490	201
709	490	200
710	491	199
711	491	198
712	492	198
713	492	197
714	493	196
715	493	195
716	494	195
717	494	194
718	495	193
719	495	192
720	496	192
721	496	191
722	497	190
723	497	189
724	498	189
725	498	188
726	499	187
727	499	186
728	500	185
729	500	185
730	501	184
731	501	183
732	502	182
733	502	182
734	503	181
735	503	180
736	504	180
737	505	179
738	505	178
739	506	177
740	506	177
741	507	176
742	507	175
743	508	174
744	508	174
745	508	173
746	509	172
747	510	171
748	510	171
749	511	170
750	511	169
751	511	168
752	512	168
753	512	167
754	513	166
755	513	165
756	514	165
757	514	164
758	515	163
759	516	163
760	517	162
761	517	161
762	518	161
763	519	160
764	519	159
765	520	158
766	520	158
767	521	157
768	521	156
769	522	156
770	522	155
771	523	154
772	523	153
773	524	153
774	524	152
775	525	151
776	525	150
777	526	150
778	526	149
779	527	148
780	527	147
781	528	147
782	528	146
783	529	145
784	529	145
785	530	144
786	530	143
787	531	142
788	531	142
789	532	141
790	532	140
791	533	140
792	534	139
793	534	138
794	535	137
795	535	137
796	536	136
797	536	135
798	537	135
799	537	134
800	538	133
801	538	132
802	539	132
803	539	131
804	539	130
805	540	130
806	540	129
807	541	128
808	541	127
809	542	127
810	542	126
811	543	125
812	543	125
813	544	124
814	544	123
815	545	122
816	546	122
817	546	121
818	546	120
819	547	120
820	547	119
821	548	118
822	548	118
823	549	117
824	550	116
825	550	115
826	550	115
827	551	114
828	551	113
829	552	113
830	553	112
831	553	111
832	553	111
833	554	110
834	554	109
835	555	108
836	555	108
837	556	107
838	556	106
839	557	106
840	557	105
841	558	104
842	558	104
843	559	103
844	559	102
845	560	102
846	560	101
847	561	100
848	561	99
849	562	99
850	562	98
851	563	97
852	563	97
853	564	96
854	564	95
855	565	95
856	565	94
857	566	93
858	566	93
859	567	92
860	567	91
861	568	90
862	568	90
863	569	89
864	569	88
865	570	88
866	570	87
867	571	86
868	571	86
869	572	85
870	572	84
871	573	84
872	573	83
873	574	82
874	574	82
875	575	81
876	575	80
877	576	80
878	576	79
879	577	78
880	577	78
881	578	77
882	578	76
883	579	76
884	579	75
885	580	74
886	580	74
887	581	73
888	581	72
889	582	71
890	582	71
891	583	70
892	583	69
893	584	69
894	584	68
895	585	67
896	585	67
897	586	66
898	586	65
899	587	65
900	587	64
901	588	63
902	588	63
903	589	62
904	589	61
905	590	61
906	590	60
907	591	59
908	591	59
909	592	58
910	593	57
911	593	57
912	594	56
913	594	55
914	595	55
915	595	54
916	596	53
917	596	53
918	597	52
919	597	51
920	598	51
921	598	50
922	599	49
923	599	49
924	600	48
925	600	48
926	601	47
927	601	46
928	602	46
929	602	45
930	603	44
931	603	44
932	604	43
933	604	42
934	605	42
935	605	41
936	606	40
937	606	40
938	607	39
939	607	38
940	608	38
941	608	37
942	609	36
943	609	36
944	610	35
945	610	34
946	611	34
947	611	33
948	612	32
949	612	32
950	613	31
951	613	30
952	614	30
953	614	29
954	615	28
955	615	28
956	616	27
957	616	27
958	617	26
959	617	25
960	618	25
961	618	24
962	619	23
963	619	23
964	620	22
965	620	21
966	621	21
967	621	20
968	622	19
969	622	19
970	623	18
971	623	17
972	624	17
973	624	16
974	625	16
975	625	15
976	626	14
977	626	14
978	627	13
979	627	12
980	628	12
981	628	11
982	629	10
983	629	10
984	630	9
985	630	8
986	631	8
987	631	7
988	632	7
989	632	6
990	633	5
991	633	5
992	634	4
993	634	3
994	635	3
995	635	2
996	636	1
997	636	1
998	637	0
999	637	0
